category,algorithm,language,time_s,energy_j,power_w,std_time_s,std_energy_j,std_power_w,n_runs,sem_time_s,sem_energy_j,sem_power_w,cv_time_pct,cv_energy_pct,platform,edp,aei,n_energy_local,n_time_local,ges_local,ges_global,rank_in_category,rank_in_algorithm,rank_in_cat_algo
floating_point,numerical_integration,c,0.2175394536,0.5469527794,2.5142314,0.0007962636337476,0.0108093859046487,0.0466173891380077,10,0.0002518006700604,0.0034182279566409,0.0147417128246498,0.3660318257541134,1.976292344013037,arm,0.11898380877567732,8.404504867425459,0.05738218421790444,0.0576158494227389,0.05749901682032167,0.040203663300669136,17.0,3.0,3.0
floating_point,numerical_integration,cpp,0.2175661684,0.5520968393000001,2.5375851000000003,0.0006812186072661,0.0126151506548046,0.0565034375049677,10,0.0002154202383448,0.0039892609095347,0.0178679558144679,0.3131087026424473,2.2849525222421696,arm,0.12011759391225156,8.325175084097348,0.0579274439103681,0.057622992483282995,0.057775218196825545,0.040315474230055784,18.0,4.0,4.0
floating_point,numerical_integration,go,0.1393759138,0.3539572229,2.5396235000000003,0.0003548649172715,0.0072514189763744,0.0535523458273408,10,0.0001122181400265,0.002293100023351,0.0169347386859411,0.2546099305083763,2.048670999552725,arm,0.049333111387797786,20.270361464518196,0.03692505505732811,0.03671631444095631,0.03682068474914221,0.025693060207667533,16.0,2.0,2.0
floating_point,numerical_integration,java,0.278279679,0.7139220549,2.5653965,0.0028516816011075,0.0259568734919344,0.0860807315815282,10,0.0009017809021095,0.0082082841171361,0.0272211174451217,1.0247538057234804,3.635813365587967,arm,0.19867000026859238,5.0334725859367175,0.07508058151106366,0.07385670121625837,0.07446864136366102,0.05183731303952354,19.0,5.0,5.0
floating_point,numerical_integration,rust,0.0022657147999999,0.0061769489999999,2.7255979,4.182213266202484e-05,0.0002372736305295,0.0640640102856336,10,1.3225319581771946e-05,7.503251011705971e-05,0.0202588188547056,1.845869244532668,3.8412755314886993,arm,1.3995204768144356e-05,71453.04527992208,6.106651947327177e-05,5.549524454018368e-05,5.828088200672772e-05,4.4971753818452775e-05,4.0,1.0,1.0
integer_and_control_flow_intensive,josephus_problem,c,0.0023846168,0.0064942257,2.7233353,2.8410518043694927e-05,0.000128721130176,0.0398089023127295,10,8.98419465233871e-06,4.070519543472175e-05,0.0125886802459369,1.191408114028842,1.9820858732398,arm,1.548623970721176e-05,64573.45481578151,9.469719237191681e-05,8.728751641994318e-05,9.099235439593e-05,6.754374835760658e-05,5.0,2.0,2.0
integer_and_control_flow_intensive,josephus_problem,cpp,0.0024019781,0.0065726895,2.7361422,1.3619766113589764e-05,0.0001963484180946,0.0708373183597458,10,4.306948211772321e-06,6.209082161501638e-05,0.0224007269355259,0.56702290972552,2.9873374985181664,arm,1.578745623709995e-05,63341.426571941105,0.00010301419261865376,9.192961806487438e-05,9.747190534176407e-05,7.151578220796123e-05,6.0,3.0,3.0
integer_and_control_flow_intensive,josephus_problem,go,0.0026920838,0.0073193796,2.7174575,0.0005864013780484,0.0016240412901404,0.0211700382839626,10,0.0001854363977694,0.0005135669491002,0.0066945539130284,21.78243404044122,22.18823696670248,arm,1.970438324721048e-05,50750.12942318652,0.00018216179630259485,0.0001694987025904517,0.00017583024944652325,0.00012601150993317938,11.0,4.0,4.0
integer_and_control_flow_intensive,josephus_problem,java,0.0302650291,0.0820346562,2.7091834,0.0013423226482356,0.0051353741135065,0.0835656694265721,10,0.0004244796923253,0.0016239478835748,0.0264257849584664,4.435226689524752,6.260005650522318,arm,0.0024827812571014954,402.77410550756395,0.008101826328446301,0.007542011978251083,0.007821919153348691,0.005384362180184274,18.0,5.0,5.0
integer_and_control_flow_intensive,josephus_problem,rust,0.0023681352,0.0064363311,2.7177206,4.366201703184236e-05,0.0001631267359205,0.0347278278112653,10,1.3807142105768637e-05,5.158520327778114e-05,0.0109819034073738,1.8437299116977088,2.5344677485683103,arm,1.524210223676472e-05,65607.74783336314,8.856048471201837e-05,8.288063084852303e-05,8.57205577802707e-05,6.412213096144665e-05,4.0,1.0,1.0
