category,algorithm,language,run,status,time_s,energy_j,dynamic_energy_j,power_w,idle_power_w,domain,energy_path,exit_code
string_and_text_processing,palindrome_detection,go,2,OK,0.0841058,2.042536,1.523653677,24.285317,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,go,3,OK,0.084257942,1.999018,1.479197053,23.72498,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,go,4,OK,0.083577874,2.003779,1.488153664,23.974994,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,go,5,OK,0.084587116,1.962825,1.440973247,23.204775,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,go,6,OK,0.08445001,1.989741,1.468735108,23.56117,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,go,7,OK,0.08834507,2.017268,1.472231925,22.833962,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,go,8,OK,0.08414929,2.009516,1.49036537,23.880368,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,go,9,OK,0.084089783,1.997309,1.478525493,23.752101,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,go,10,OK,0.084070235,1.963069,1.444406092,23.350345,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,rust,1,OK,0.107460557,2.551934,1.88896684,23.747634,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,rust,2,OK,0.108564331,2.570611,1.900834216,23.678228,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,rust,3,OK,0.107985681,2.557733,1.89152614,23.685853,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,rust,4,OK,0.10904427,2.530633,1.857895281,23.207391,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,rust,5,OK,0.123736402,2.764641,2.001261642,22.342988,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,rust,6,OK,0.107614945,2.552545,1.888625358,23.719243,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,rust,7,OK,0.107808454,2.547418,1.882304524,23.629112,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,rust,8,OK,0.108022421,2.553033,1.886599476,23.634288,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,rust,9,OK,0.10815184,2.539361,1.872129038,23.479591,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,rust,10,OK,0.107795476,2.596185,1.93115159,24.08436,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,cpp,1,OK,0.074313935,1.741939,1.283466609,23.440274,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,cpp,2,OK,0.073577099,1.75378,1.299853445,23.835949,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,cpp,3,OK,0.075063698,1.737606,1.274508022,23.14842,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,cpp,4,OK,0.073849702,1.774593,1.318984648,24.029792,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,cpp,5,OK,0.073618359,1.750667,1.296485896,23.780305,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,cpp,6,OK,0.075117225,1.74322,1.279791792,23.206661,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
string_and_text_processing,palindrome_detection,cpp,7,OK,0.074441588,1.729854,1.270594067,23.237736,6.1694,package-0,/sys/class/powercap/intel-rapl:0/energy_uj,0
