category,algorithm,language,run,status,time_s,energy_j,dynamic_energy_j,power_w,idle_power_w,domain,energy_path,exit_code
string_and_text_processing,sha1_pure_implementation,go,4,OK,0.013301725,0.036145156,0.001877252,2.717328,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,go,5,OK,0.013270576,0.039621103,0.005433445,2.985636,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,go,6,OK,0.013421503,0.03654578,0.001969304,2.722928,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,go,7,OK,0.013353613,0.036655521,0.002253943,2.744989,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,go,8,OK,0.013298965,0.036518785,0.002257991,2.745987,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,go,9,OK,0.01346778,0.036533232,0.001837537,2.712639,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,go,10,OK,0.013275243,0.036304756,0.002105075,2.734771,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,c,1,OK,0.011899037,0.032141667,0.001487368,2.701199,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,c,2,OK,0.012030482,0.032576987,0.001584059,2.70787,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,c,3,OK,0.011995722,0.032752634,0.001849255,2.73036,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,c,4,OK,0.011810148,0.032105143,0.00167984,2.718437,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,c,5,OK,0.011777277,0.032209292,0.001868671,2.734867,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,c,6,OK,0.0117145,0.031989775,0.00181088,2.730784,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,c,7,OK,0.011811037,0.032426393,0.001998799,2.745431,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,c,8,OK,0.011760685,0.031810201,0.001512324,2.704792,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,c,9,OK,0.011987482,0.032720599,0.001838448,2.729564,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,c,10,OK,0.011732592,0.031726442,0.001500938,2.704129,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,cpp,1,OK,0.012378594,0.034070749,0.002181015,2.752392,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,cpp,2,OK,0.012388427,0.033424447,0.001509381,2.698038,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,cpp,3,OK,0.012410186,0.033715416,0.001744295,2.716753,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,cpp,4,OK,0.012294946,0.034493342,0.002819102,2.80549,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,cpp,5,OK,0.012349205,0.033456954,0.001642932,2.70924,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,cpp,6,OK,0.01237213,0.033555481,0.0016824,2.712183,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,cpp,7,OK,0.012295667,0.033856672,0.002180575,2.753545,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,cpp,8,OK,0.012427982,0.034830109,0.002813142,2.802555,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,cpp,9,OK,0.012377297,0.033751862,0.001865469,2.726917,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,sha1_pure_implementation,cpp,10,OK,0.012293464,0.033345406,0.001674984,2.71245,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,rust,1,OK,0.014558912,0.037887588,0.000380919,2.602364,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,rust,2,OK,0.014541634,0.039689427,0.002227269,2.729365,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,rust,3,OK,0.01461906,0.038356817,0.000695195,2.623754,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,rust,4,OK,0.01453419,0.039670301,0.002227321,2.729447,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,rust,5,OK,0.01455469,0.039410083,0.001914291,2.707724,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,rust,6,OK,0.014681967,0.039956195,0.002132512,2.721447,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,rust,7,OK,0.014597134,0.041095844,0.003490707,2.815336,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,rust,8,OK,0.014568616,0.039470132,0.001938463,2.709257,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,rust,9,OK,0.014552116,0.039755195,0.002266034,2.731919,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,rust,10,OK,0.014596486,0.039492107,0.00188864,2.70559,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,go,1,OK,0.015925859,0.04166579,0.000637592,2.616235,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,go,2,OK,0.015836136,0.043120943,0.002323889,2.722946,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,go,3,OK,0.015825191,0.042850036,0.002081179,2.707711,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,go,4,OK,0.015827913,0.043057297,0.002281428,2.72034,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,go,5,OK,0.01581784,0.043177009,0.00242709,2.72964,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,go,6,OK,0.015840654,0.043338715,0.002530022,2.735917,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,go,7,OK,0.015822933,0.042893147,0.002130107,2.710822,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,go,8,OK,0.015822933,0.043484727,0.002721687,2.748209,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,go,9,OK,0.015929562,0.042753105,0.001715367,2.683885,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,go,10,OK,0.015804229,0.043322055,0.0026072,2.741169,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,c,1,OK,0.010301034,0.028998528,0.002461004,2.815108,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,c,2,OK,0.010345534,0.028278638,0.001626473,2.733415,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,c,3,OK,0.010299386,0.027937193,0.001403915,2.712511,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,c,4,OK,0.010393794,0.028076522,0.00130003,2.701278,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,c,5,OK,0.010313812,0.027927023,0.001356581,2.70773,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,c,6,OK,0.010311869,0.028788181,0.002222744,2.791752,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,c,7,OK,0.01027896,0.0281719,0.001691243,2.740734,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,c,8,OK,0.010354794,0.027066054,0.000390034,2.613867,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,c,9,OK,0.010295887,0.027887089,0.001362825,2.708566,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,c,10,OK,0.010337016,0.028176137,0.001545916,2.725752,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,cpp,1,OK,0.010696961,0.028988845,0.001431334,2.710008,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,cpp,2,OK,0.010559739,0.029203402,0.001999402,2.765542,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
string_and_text_processing,longest_common_subsequence,cpp,3,OK,0.010508628,0.028828771,0.001756444,2.743343,2.5762,vcgencmd_pmic,vcgencmd pmic_read_adc,0
